name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Menghe a'Nyam,41,19,13.3,0.9,2.1,.414,0.9,2.0,.429,0.0,0.1,.000,0.7,1.2,.529,1.3,1.7
Jordan Aaberg,115,16,11.2,1.5,2.3,.619,1.5,2.3,.619,0.0,0.0,,0.6,0.7,.788,0.7,1.6
Karl Aaker,92,29,16.4,1.4,4.0,.346,0.4,1.2,.360,0.9,2.8,.340,0.4,0.6,.611,0.6,1.4
Steve Aaker,52,,,2.5,6.1,.415,1.2,2.3,.500,5.1,,,,,3.0,6.2,
Waine Aalto,10,,,1.3,2.4,.542,0.5,1.0,.500,1.5,,,,,1.1,3.1,
Mike Aaman,107,55,19.0,3.1,6.5,.473,3.1,6.5,.474,0.0,0.0,.000,1.8,2.8,.641,2.5,3.2
Craig Aamot,45,1,7.0,0.4,0.9,.425,0.3,0.6,.480,0.1,0.3,.333,0.4,0.5,.792,,
Art Aaron,108,66,25.9,4.5,9.9,.453,,,.478,,,.293,2.0,3.0,.673,3.5,1.7
Carlton Aaron,93,72,23.1,3.9,7.3,.542,3.9,7.3,.542,0.0,0.0,,1.9,3.8,.486,,
David Aaron,82,3,8.9,0.4,0.7,.500,0.3,0.7,.500,0.0,0.0,.000,0.4,0.7,.600,,
Jordan Aaron,63,60,34.3,4.6,12.3,.373,2.4,6.0,.402,2.1,6.2,.344,3.3,3.9,.838,0.4,2.9
Kris Aaron,4,0,1.8,0.3,0.5,.500,0.3,0.5,.500,0.0,0.0,,0.0,0.0,,,
Leslie Aaron,26,0,6.3,0.5,1.2,.400,,,,,,,0.7,1.1,.655,1.1,0.2
Michael Aaron,64,0,9.2,3.7,7.5,.493,3.7,7.4,.496,0.0,0.1,.200,2.0,3.2,.618,,
Nate Aaron,11,11,,0.6,1.7,.368,0.2,0.6,.286,0.5,1.1,.417,0.6,0.7,.875,,
Patrick Aaron,28,0,7.4,0.8,1.6,.477,0.6,1.3,.486,0.1,0.3,.429,0.4,0.7,.526,,
Shaddean Aaron,105,71,24.7,3.9,8.4,.459,3.0,5.9,.516,0.8,2.6,.328,2.0,2.7,.745,,
Shaqquan Aaron,127,65,18.8,2.1,5.0,.417,1.3,2.8,.483,0.7,2.2,.335,0.8,1.3,.624,0.6,2.1
Troy Aaron,91,64,21.9,2.4,6.1,.387,1.7,4.1,.422,0.6,2.0,.317,1.2,1.9,.642,0.9,1.7
Joe Aase,24,0,6.3,0.3,1.0,.333,0.2,0.5,.385,0.1,0.5,.273,0.0,0.1,.500,0.1,0.8
Pardie Abadee,1,,,0.0,1.0,.000,0.0,0.0,,0.0,,,,,0.0,0.0,
Brian Abadie,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0
Ronell Abaekobe,7,0,1.4,0.1,0.1,1.000,0.1,0.1,1.000,0.0,0.0,,0.3,0.6,.500,0.0,0.0
Eli Abaev,48,48,27.1,2.9,6.0,.476,2.8,5.7,.485,0.1,0.3,.313,1.8,3.2,.565,2.5,5.1
Kwesi Abakah,109,11,7.6,0.3,0.8,.422,0.3,0.8,.422,0.0,0.0,,0.3,0.6,.429,0.5,0.8
Kevin Abanobi,58,22,14.1,1.1,3.0,.382,0.9,1.8,.490,0.3,1.2,.217,0.8,1.3,.671,0.7,1.3
Jerome Abbage,54,7,12.3,1.9,5.1,.363,0.6,1.4,.413,1.3,3.8,.345,0.5,0.7,.722,,
Ed Abbey,57,,,1.3,3.6,.354,1.6,2.4,.672,3.3,,,,,2.2,4.1,
Jerry Abbey,53,,8.2,0.5,1.1,.414,,,,,,,0.4,0.8,.488,1.3,0.2
Bill Abbott,37,,,1.3,4.4,.298,0.7,1.2,.581,3.5,,,,,0.9,3.3,
Don Abbott,17,,,0.4,1.8,.233,0.0,0.1,.000,0.5,,,,,0.3,0.8,
George Abbott,10,,,0.1,0.9,.111,0.4,0.6,.667,1.0,,,,,1.1,0.6,
Gus Abbott,19,0,7.4,0.3,1.6,.200,0.1,0.9,.111,0.2,0.6,.333,0.3,0.7,.429,,
Hayden Abbott,68,,,3.4,8.6,.390,1.3,2.2,.586,4.6,,,,,2.4,8.0,
Larry Abbott,10,,,0.0,0.3,.000,0.0,0.1,.000,0.5,,,,,0.3,0.0,
Malik Abbott,4,0,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.8
Matthew Abbott,3,0,1.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,0.7
Ryan Abbott,59,0,11.2,0.8,2.3,.366,0.3,0.7,.450,0.5,1.6,.330,0.6,0.8,.688,,
Tony Abbott,70,,,4.3,10.1,.429,1.9,2.6,.732,3.3,,,,,2.5,10.6,
Ty Abbott,130,119,30.9,3.5,8.8,.399,1.4,2.9,.475,2.1,5.8,.361,1.1,1.6,.700,0.6,3.3
Chris Abboushi,21,1,5.7,0.2,0.6,.385,0.2,0.6,.385,0.0,0.0,,0.5,0.9,.611,,
Huthifah Abdel Jawad,10,0,1.4,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,0.1,0.2,.500,0.0,0.1
Mostafa Abdel Latif,56,18,15.2,1.5,3.0,.482,1.5,3.0,.482,0.0,0.0,,0.5,0.8,.587,1.6,2.8
Ha-Keem Abdel-Khaliq,16,1,1.6,0.2,0.8,.231,0.1,0.4,.143,0.1,0.4,.333,0.1,0.2,.333,,
Alaa Abdelnaby,134,57,14.8,3.3,5.6,.599,3.3,5.6,.599,0.0,0.0,,1.8,2.5,.728,,
Jabbar Abdi,39,0,9.5,1.1,2.8,.407,1.1,2.6,.426,0.0,0.2,.143,0.1,0.3,.308,,
Salah Abdo,5,0,2.2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.4,.000,0.0,0.0
Mohammed Abdrabboh,7,,,0.4,1.0,.429,0.3,0.7,.400,0.1,0.3,.500,0.1,0.6,.250,,
Akbar Abdul-Ahad,57,31,28.6,2.8,7.2,.384,0.9,2.2,.383,1.9,5.0,.385,2.3,2.9,.798,0.2,2.2
Muhammad Abdul-Aleem,50,3,17.7,2.5,6.9,.369,2.0,5.0,.403,0.5,1.9,.281,1.7,2.7,.632,0.9,2.6
Musa Abdul-Aleem,55,23,20.7,3.4,8.4,.400,1.7,3.4,.487,1.7,5.0,.339,1.6,2.1,.779,0.6,2.6
Jalil Abdul-Bassit,52,19,15.5,2.1,5.0,.421,0.8,2.1,.411,1.3,3.0,.429,0.7,0.9,.739,0.4,1.0
Mustafa Abdul-Hamid,49,1,6.1,0.6,1.3,.460,0.3,0.5,.654,0.2,0.8,.324,0.1,0.2,.444,0.1,0.3
Kareem Abdul-Jabbar,88,,,10.7,16.8,.639,5.0,7.9,.628,15.5,,,,,2.2,26.4,
Kareem Abdul-Jabbar,52,14,16.0,1.5,2.8,.545,1.4,2.6,.552,0.1,0.2,.444,1.4,2.1,.649,,
Khaleel Abdul-Malik,20,11,17.8,2.5,5.7,.434,2.4,5.5,.436,0.1,0.2,.333,1.6,1.9,.816,,
Khaalis Abdul-Raqeeb,50,1,10.4,1.0,3.2,.321,0.6,1.7,.376,0.4,1.5,.257,0.2,0.3,.688,,
Mahmoud Abdul-Rauf,64,,37.2,10.4,21.9,.474,7.7,14.7,.524,2.7,7.2,.372,5.5,6.4,.863,,
Tariq Abdul-Wahad,87,28,23.4,4.9,10.4,.477,4.4,8.6,.509,0.6,1.7,.322,3.2,4.4,.726,,
Kahhar Abdul-Wali,9,0,1.6,0.0,0.8,.000,0.0,0.4,.000,0.0,0.3,.000,0.0,0.2,.000,,
Abdul Abdullah,62,29,28.4,0.8,2.8,.291,0.5,1.7,.324,0.3,1.1,.239,0.9,1.7,.542,,
Ahmad Abdullah,85,52,25.8,2.2,5.8,.382,1.4,3.7,.395,0.8,2.1,.359,1.3,1.7,.764,0.4,2.0
Ali Abdullah,99,34,20.8,3.0,7.7,.388,1.9,4.2,.462,1.1,3.5,.300,4.2,5.6,.740,0.6,1.9
Bilal Abdullah,116,80,28.8,3.3,7.6,.431,1.9,3.9,.490,1.4,3.7,.368,2.9,3.8,.764,0.9,2.7
