name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Amadou Ba,24,1,1.8,0.2,0.3,.571,0.2,0.3,.571,0.0,0.0,,0.0,0.2,.250,0.0,0.3
Cameron Ba,24,5,18.9,1.4,3.9,.362,0.4,0.8,.526,1.0,3.1,.320,0.5,0.8,.650,0.4,2.0
Ousmane Ba,19,7,4.6,0.1,0.3,.167,0.1,0.3,.167,0.0,0.0,,0.1,0.4,.125,0.5,0.5
Ousmane Ba,28,,10.0,0.3,0.9,.360,,,,,,,0.2,0.6,.375,0.9,0.1
Pape Ba,87,68,23.7,3.5,7.5,.471,3.5,7.5,.471,0.0,0.0,,1.6,2.7,.591,2.3,3.4
Tamsir Ba,42,11,7.0,0.5,1.2,.469,0.5,1.2,.469,0.0,0.0,,0.2,0.3,.692,0.5,0.9
Tom Baack,75,,,7.0,15.2,.462,3.3,4.0,.832,5.2,,,,,2.2,17.3,
Nana Baafi,15,0,3.9,0.1,0.4,.167,0.1,0.4,.167,0.0,0.0,,0.1,0.1,.500,0.1,0.5
Eugene Baah,53,41,22.7,1.1,2.9,.381,0.6,1.3,.486,0.5,1.6,.294,0.4,0.6,.697,0.8,1.6
Donald Bab,59,,,0.7,2.4,.279,1.0,1.8,.533,3.4,,,,,2.2,2.3,
Olu Babalola,108,65,19.7,2.1,5.6,.373,1.5,3.5,.426,0.6,2.1,.283,1.7,2.4,.698,1.4,2.0
Chris Babb,130,90,26.5,2.3,6.2,.377,0.6,1.5,.434,1.7,4.7,.359,0.9,1.2,.733,0.7,2.3
Fred Babb,55,16,0.9,1.0,2.8,.355,1.4,2.3,.598,1.5,,,,,1.6,3.4,
Jaylen Babb-Harrison,69,15,13.7,2.1,5.1,.402,0.8,1.8,.457,1.2,3.3,.372,0.8,0.9,.887,0.4,1.8
Luke Babbitt,68,68,34.9,6.5,13.6,.480,5.4,11.0,.494,1.1,2.6,.421,5.2,5.8,.893,2.0,6.2
Chris Babbs,3,,,0.3,0.7,.500,0.7,1.0,.667,0.7,,,,,0.0,1.3,
Ken Babbs,24,,,0.5,1.4,.333,0.3,0.5,.545,0.8,,,,,0.7,1.2,
_ Babbs,15,,,2.2,,,1.3,,,,,,,,,5.7,
Frank Babcock,47,,,0.9,2.2,.404,0.6,0.9,.605,1.0,1.6,1.0,,1.3,1.1,2.3,
Greg Babcock,117,85,21.7,2.6,4.4,.587,2.6,4.4,.587,0.0,0.0,,2.2,3.2,.684,,
Hank Babcock,4,,,1.8,5.0,.350,0.3,0.8,.333,0.8,2.0,,,,0.3,3.8,
Jerry Babcock,52,,,0.8,2.0,.419,1.3,2.4,.528,3.7,,,,,2.1,3.0,
John Babcock,8,,,0.9,2.9,.304,0.0,0.0,,1.1,,,,,1.4,1.8,
Rich Babcock,76,,6.9,0.7,1.8,.385,1.0,1.1,.859,0.5,0.4,,,,0.5,2.3,
Tom Babcock,98,,,2.2,4.7,.475,,,,,,,1.6,2.2,.728,2.7,0.5
_ Babcock,19,,,1.1,,,0.6,1.1,.524,,,,,,1.8,2.7,
Frank Baber,1,,,0.0,0.0,,0.0,0.0,,0.0,,,,,1.0,0.0,
Jim Babers,90,19,,3.8,8.5,.452,3.8,5.0,.752,4.7,,,,,3.4,11.4,
Harvey Babetch,96,,,2.8,7.8,.359,3.1,4.6,.676,2.0,0.4,,,,2.0,8.7,
Frank Babic,44,,,1.1,3.0,.358,0.8,1.6,.536,4.3,,,,,2.0,3.0,
Jake Babic,121,32,17.5,1.5,4.4,.345,0.7,1.6,.411,0.8,2.7,.306,0.7,1.0,.698,0.4,1.6
Milos Babic,80,,26.8,4.8,10.3,.468,4.8,10.2,.469,0.0,0.1,.286,2.6,3.8,.667,,
Bruce Babich,42,,,4.2,10.3,.410,1.4,1.9,.734,6.7,,,,,0.9,9.9,
Mark Babich,34,17,16.6,1.0,2.9,.343,,,,,,,0.7,1.0,.758,1.9,2.1
_ Babich,15,,,1.2,2.7,.450,1.0,1.5,.652,2.5,,,,,2.0,3.4,
Tom Babik,41,,,0.8,1.9,.410,1.0,1.6,.662,1.0,0.2,,0.0,,0.4,2.6,
Mike Babin,26,25,27.5,5.3,10.3,.511,2.8,4.7,.595,9.7,1.2,0.5,0.1,3.0,3.7,13.3,
Schley Babin,,,,,,,,,.379,,,,,,,,
Tony Babin,71,,,1.8,4.2,.421,2.0,2.8,.729,1.2,,,,,1.7,5.6,
