name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Oliver Caballero,40,5,7.6,0.7,1.7,.388,0.7,1.7,.388,0.0,0.0,,0.6,0.9,.667,0.7,0.6
_ Caballero,34,,,2.6,,,0.9,,,,,,,,,6.1,
Dimitrije Cabarkapa,77,2,11.9,2.2,4.8,.453,1.3,2.5,.523,0.9,2.3,.375,0.6,0.7,.839,0.7,1.9
Milos Cabarkapa,30,0,3.7,0.4,0.7,.591,0.4,0.7,.591,0.0,0.0,,0.4,0.6,.632,0.4,0.7
Curtis Cabbell,17,,,0.4,0.5,.778,0.1,0.2,.333,0.5,,,,,0.4,0.9,
Lovell Cabbil,132,122,30.5,3.5,8.2,.423,2.0,4.1,.482,1.5,4.0,.363,2.3,2.7,.846,0.4,3.3
Shamile Cabell,61,16,17.2,2.5,6.5,.382,1.7,4.4,.385,0.8,2.1,.375,2.0,2.8,.706,0.4,0.9
Bernie Cabey,67,,,1.3,2.8,.481,1.0,1.8,.520,5.9,,,,,1.9,3.6,
Jahir Cabeza,59,16,17.8,2.1,5.3,.391,1.1,2.0,.568,0.9,3.3,.284,0.8,1.3,.592,1.1,2.5
Henry Cabiness,74,,,4.4,11.0,.397,4.2,6.5,.647,11.9,,,,,3.4,12.9,
Barney Cable,66,,,6.2,13.8,.451,3.6,5.7,.632,13.7,,,,,2.6,16.0,
Dick Cable,82,,,5.3,13.2,.399,3.9,5.2,.747,5.0,2.6,,,,2.3,14.4,
Don Cable,19,,,0.4,1.6,.233,0.2,0.4,.571,0.9,,,,,1.2,0.9,
Jason Cable,106,86,23.1,3.4,8.3,.409,2.4,5.1,.470,1.0,3.2,.313,1.2,1.8,.661,0.6,2.1
Jeff Cable,61,,,2.2,4.6,.482,1.0,1.9,.543,2.8,,,,,2.3,5.4,
Randy Cable,76,,,2.0,4.3,.460,1.4,1.8,.763,0.9,0.8,,,,1.1,5.3,
Frankie Cabrera,15,,,0.4,1.3,.300,0.3,0.8,.417,0.1,0.5,.125,0.1,0.2,.333,,
Kris Cabrera,6,0,1.5,0.2,0.7,.250,0.2,0.5,.333,0.0,0.2,.000,0.0,0.0,,0.2,0.0
Rick Cabrera,76,,,5.6,12.2,.457,3.0,4.6,.658,5.6,,,,,2.4,14.1,
Ricky Cabrera,49,,26.2,2.6,7.1,.363,1.6,3.6,.433,1.0,3.5,.291,0.6,0.8,.718,,
Rico Cabrera,28,,,0.9,2.5,.377,0.7,1.6,.413,0.3,0.8,.304,1.0,1.4,.763,,
Ruben Cabrera,94,26,16.2,2.3,5.0,.453,1.8,3.6,.490,0.5,1.3,.352,1.3,2.0,.636,0.9,2.4
Bill Cacciatore,65,,,4.4,11.9,.366,2.4,3.2,.758,3.4,,,,,2.3,11.1,
Edwin Caceres,7,,,0.4,1.1,.375,0.3,0.9,.333,0.1,0.3,.500,0.3,0.4,.667,,
_ Cacicedo,28,,,1.3,,,0.6,1.1,.500,,,,,,1.7,3.1,
Dennis Cackert,24,,20.6,2.5,6.0,.420,1.1,1.6,.684,2.2,1.3,0.8,,,2.3,6.1,
Devontae Cacok,129,97,23.8,5.0,7.9,.639,5.0,7.9,.639,0.0,0.0,1.000,2.2,3.8,.592,3.5,6.3
Norm Cacy,52,,,2.1,4.1,.498,1.1,1.8,.626,3.0,1.2,,,,2.0,5.2,
Furaha Cadeaux de Dieu,13,0,7.8,1.2,2.5,.485,1.2,2.5,.500,0.0,0.1,.000,0.6,1.3,.471,1.0,1.0
Ricky Cadell,116,108,31.8,4.8,11.6,.409,2.8,6.2,.459,1.9,5.4,.352,2.8,3.8,.725,0.8,2.5
Bart Cadenhead,7,,,0.0,0.3,.000,0.0,0.0,,0.1,,,,,0.0,0.0,
Olivier Cadieux,20,0,7.0,0.4,1.4,.296,0.3,0.8,.333,0.2,0.6,.250,0.3,0.4,.750,0.1,0.9
Jeff Cadle,102,17,19.7,3.3,7.8,.419,3.1,7.2,.432,0.1,0.6,.259,1.8,2.6,.682,,
Jim Cadle,39,,,2.5,6.3,.392,2.9,3.9,.748,3.9,,,,,2.6,7.8,
Kevin Cadle,54,,11.5,1.7,3.9,.443,0.4,0.7,.564,0.9,1.4,0.3,0.0,1.5,1.3,3.9,
