name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Roland H'Orvath,62,43,23.5,2.6,5.1,.503,2.5,4.9,.515,0.0,0.2,.182,1.6,2.5,.649,,
Hal Haabestad,25,,,7.1,21.9,.324,5.8,8.4,.699,,,,,,2.0,20.0,
Kevin Haadtvedt,10,0,3.3,0.1,0.5,.200,,,,,,,0.3,0.3,1.000,1.0,0.2
Dick Haag,80,,,3.8,8.4,.457,2.7,4.7,.574,9.7,2.1,,,,2.0,10.4,
Ed Haag,69,,,2.4,,,1.8,2.4,.731,,,,,,2.6,6.6,
_ Haag,7,,,1.1,1.9,.615,0.1,0.3,.500,0.3,,,,,1.1,3.9,
Brian Haak,65,0,6.7,0.3,0.8,.352,0.1,0.2,.500,0.2,0.6,.289,0.2,0.3,.737,0.1,0.5
Bill Haaker,39,,,0.5,2.3,.198,0.2,0.4,.529,1.1,0.1,,,,0.9,1.2,
Dale Haaland,56,56,27.2,3.8,6.6,.572,,,.574,,,,2.4,4.1,.596,,
Samuel Haanpaa,54,36,27.0,3.3,7.5,.437,0.8,2.0,.415,2.5,5.5,.445,2.1,2.7,.760,0.7,2.8
Jeff Haar,97,,19.0,3.3,6.9,.474,,,.501,,,.342,2.3,3.5,.672,,
Bill Haarlow,31,,,2.7,6.3,.436,1.7,2.3,.771,6.0,,,,,1.8,7.2,
Bob Haarlow,103,,,3.8,8.3,.461,1.5,2.3,.633,4.6,,,,,2.4,9.1,
Bob Haarlow,30,,,1.3,5.3,.244,1.2,1.8,.673,,,,,,1.2,3.8,
John Haarlow,76,,,5.2,10.6,.489,2.2,3.0,.742,7.3,,,,,1.6,12.6,
Dale Haarman,54,27,32.4,5.2,11.3,.465,3.2,4.3,.749,6.1,2.5,1.2,0.1,3.1,2.3,13.7,
Joe Haarman,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,1.0
Matt Haarms,127,64,20.7,3.3,5.7,.572,3.1,4.9,.620,0.2,0.7,.253,1.5,2.3,.674,1.4,3.0
James Haarsma,118,77,24.3,3.0,6.2,.487,2.7,5.2,.512,0.3,1.0,.353,2.1,3.0,.706,2.1,3.2
Anders Haas,21,0,6.4,0.9,2.5,.340,0.1,0.4,.333,0.7,2.1,.341,0.5,0.6,.846,0.1,0.5
August Haas,67,41,24.1,1.6,4.3,.383,1.2,2.6,.443,0.5,1.7,.288,0.7,1.3,.534,0.2,2.2
Bob Haas,18,,,0.4,1.3,.348,0.2,0.4,.571,0.5,0.4,,,,0.4,1.1,
David Haas,50,,27.1,1.2,3.3,.368,0.8,1.0,.750,1.1,3.3,,,,1.7,3.2,
