name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Amath M'Baye,84,63,25.7,3.7,8.0,.468,3.5,6.7,.521,0.3,1.3,.200,2.0,3.0,.660,1.5,3.4
Chien-Hao Ma,7,0,7.1,0.9,1.9,.462,0.3,0.3,1.000,0.6,1.6,.364,0.0,0.3,.000,0.1,0.7
Kane Ma,12,1,1.1,0.1,0.3,.333,0.1,0.2,.500,0.0,0.1,.000,0.0,0.0,,0.0,0.1
Harvey Maack,32,,,4.0,9.4,.422,2.3,3.3,.686,2.9,,,,,2.4,10.2,
Richard Maack,24,,,2.5,8.2,.299,1.7,2.0,.851,2.5,,,,,1.2,6.6,
Charlese Maag,42,12,23.6,5.2,11.7,.440,3.2,6.8,.470,2.0,5.0,.399,1.5,2.0,.780,,
Ryan Maag,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0
Charles Maas,43,,,2.7,7.8,.339,1.5,2.2,.684,,,,,,2.3,6.8,
Ryan Maas,24,0,4.0,0.4,1.2,.321,0.3,0.7,.353,0.1,0.5,.273,0.1,0.1,.667,0.1,0.5
Chase Maasdorp,19,0,1.7,0.1,0.4,.286,0.1,0.3,.200,0.1,0.1,.500,0.1,0.3,.200,0.1,0.1
Craig Maass,86,,,2.0,4.2,.479,,,,,,,0.8,1.5,.519,1.8,
Tom Maayan,43,18,20.1,0.7,1.9,.361,0.5,1.1,.417,0.2,0.8,.286,0.3,0.7,.414,0.3,1.3
Nick Mabbutt,8,0,10.8,0.6,2.1,.294,0.1,0.4,.333,0.5,1.8,.286,0.0,0.5,.000,0.4,1.8
Mike Maben,22,0,2.9,0.4,1.0,.348,,,,,,,0.2,0.3,.833,0.6,0.2
Ron Maben,56,49,29.7,3.5,5.8,.603,,,,,,,1.1,1.5,.702,5.5,1.5
Scott Mabey,29,0,0.0,0.5,1.5,.318,0.5,1.5,.318,0.0,0.0,,0.6,0.8,.708,,
Leroy Mabins,40,1,4.6,0.2,0.6,.320,0.2,0.6,.320,0.0,0.0,,0.1,0.4,.333,,
Tony Mabrey,11,0,5.9,1.0,2.5,.407,0.2,0.3,.667,0.5,0.6,0.0,0.0,0.4,0.3,2.2,
Guy Mabry,30,,,1.8,2.1,.841,0.5,1.2,.417,,,,,,1.1,4.0,
Halsey Mabry,46,0,7.3,0.9,1.5,.592,0.9,1.5,.592,0.0,0.0,,0.6,1.0,.574,,
Thomas Mabry,37,0,4.8,0.4,1.1,.400,,,,,,,0.6,0.9,.727,0.3,0.9
Nehemiah Mabson,31,0,11.8,1.4,3.3,.412,1.0,2.2,.463,0.4,1.1,.314,0.7,1.5,.489,0.7,1.0
William Mac Donald,35,,,0.5,1.5,.308,1.0,1.5,.686,1.7,,,,,2.2,1.9,
Jamie Macahon,72,0,,1.7,4.5,.375,0.7,1.0,.725,1.9,1.0,,,,0.1,4.1,
Tony Macalik,81,0,12.2,2.0,4.1,.494,,,,,,,0.6,1.0,.603,4.2,
Mike Macaluso,67,,,6.4,13.3,.484,3.0,4.2,.725,8.7,0.8,,,,3.7,15.9,
Nick Macarchuk,97,20,14.6,0.4,1.2,.350,,,.367,,,.556,0.3,0.6,.417,,
Nick Macarchuk,18,0,11.8,0.4,0.7,.667,0.4,0.6,.636,0.1,0.1,1.000,0.1,0.2,.250,0.7,0.6
Barry MacArthur,19,,,0.8,1.9,.432,0.8,1.9,.432,0.0,0.0,,0.5,1.1,.500,,
Dale MacArthur,37,,,1.9,5.0,.391,0.9,1.5,.607,4.3,,,,,1.2,4.8,
Ed Macauley Jr,104,,,4.9,5.8,.853,3.8,3.0,1.266,,,,,,1.5,13.6,
Peter MacBeth,7,,3.0,0.3,0.7,.400,0.1,0.7,.200,0.6,0.0,0.0,0.0,0.7,0.9,0.7,
Kenny Maccalla,11,1,1.6,0.2,0.4,.500,0.2,0.3,.667,0.0,0.1,.000,0.4,0.4,1.000,0.0,0.4
Rick Maccarone,20,,,0.7,1.4,.464,,,,,,,1.0,1.5,.655,1.6,0.2
Bill MacCarthy,33,,,1.5,4.1,.358,0.3,0.8,.423,2.3,,,,,2.0,3.2,
Wil Macchi,1,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,
Vince Macciocchi,62,18,13.7,1.7,3.1,.536,,,.557,,,,1.5,2.2,.683,,
Bob MacConnell,30,,,1.5,4.7,.319,1.2,2.3,.522,,,,,,3.6,4.2,
Darin Maccoux,93,,18.6,1.2,2.6,.462,,,.500,,,,1.4,2.0,.717,,
Todd MacCulloch,115,83,24.2,6.1,9.2,.664,6.1,9.2,.664,0.0,0.0,,2.9,4.5,.660,,
Mike MacDermott,53,,,1.2,2.0,.623,1.0,1.5,.692,1.2,2.3,,,,0.7,3.7,
Dean MacDonald,21,,,2.1,4.2,.494,0.4,0.5,.818,,,,,,0.9,4.6,
Glenn MacDonald,26,,,1.5,3.8,.398,0.3,0.7,.471,3.2,0.6,,,1.1,1.7,3.3,
Howard MacDonald,15,,,0.9,1.7,.500,0.3,0.9,.385,1.1,,,,,1.5,2.1,
Jon MacDonald,37,,,0.5,1.5,.333,0.3,0.5,.526,0.5,,,,,0.5,1.2,
Mac Macdonald,6,0,4.5,0.5,1.5,.333,0.3,0.5,.667,0.2,1.0,.167,0.0,0.2,.000,0.0,0.3
Mackey MacDonald,70,,,5.1,15.8,.324,2.2,3.5,.646,9.5,1.5,,,,2.6,12.5,
Mark MacDonald,86,45,17.1,2.4,5.6,.431,1.8,3.8,.485,0.6,1.8,.316,1.0,1.6,.624,0.8,1.9
Matt MacDonald,101,75,23.3,2.0,5.0,.392,0.9,1.8,.492,1.1,3.2,.334,1.2,1.6,.752,0.9,2.1
Mike Macdonald,25,0,2.6,0.3,0.6,.500,0.3,0.6,.500,0.0,0.0,,0.0,0.0,1.000,,
Nick MacDonald,52,2,13.6,1.3,3.3,.376,0.3,0.5,.536,1.0,2.8,.345,0.5,0.5,.960,0.2,1.0
Ron MacDonald,18,,,0.7,1.9,.343,0.2,0.4,.375,1.1,,,,,1.4,1.5,
Scott MacDonald,20,12,17.2,3.0,6.8,.437,2.9,6.6,.443,0.1,0.2,.250,1.0,1.8,.571,,
Scott MacDonald,72,,20.6,2.7,6.5,.411,0.5,1.0,.536,4.0,1.0,,,,1.8,5.8,
Tommy MacDonald,83,61,30.8,3.0,9.1,.334,1.0,2.9,.343,2.0,6.2,.329,1.6,2.0,.780,,
_ MacDonald,12,,,0.9,,,0.4,,,,,,,,,2.3,
