name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Sam Waardenburg,98,49,24.1,1.8,4.3,.432,1.2,2.5,.492,0.6,1.7,.343,1.1,1.5,.715,1.3,2.9
Derek Wabbington,53,31,24.9,2.6,5.3,.493,2.6,5.2,.504,0.0,0.2,.125,1.2,2.3,.492,1.4,2.8
Fallon Wacasey,37,1,6.5,0.5,1.4,.340,0.5,1.3,.347,0.0,0.0,.000,0.4,0.6,.652,,
Stan Wachels,6,,,0.5,1.0,.500,0.2,0.5,.333,1.0,,,,,0.3,1.2,
Kenneth Wachira,19,1,2.4,0.1,0.2,.333,0.1,0.1,.500,0.0,0.1,.000,0.0,0.0,,0.1,0.1
Jason Wachob,93,31,10.9,1.1,2.5,.451,1.0,2.0,.516,0.1,0.5,.191,0.8,1.1,.660,,
Mike Wachob,59,,,2.4,5.5,.438,1.4,2.0,.720,4.4,,,,,1.9,6.3,
Stan Wacholz,1,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,
Kiril Wachsmann,120,54,19.8,2.6,5.2,.503,2.6,5.1,.504,0.0,0.0,.000,1.5,2.2,.679,2.0,3.5
Andy Wachter,5,0,1.2,0.2,0.4,.500,0.2,0.4,.500,0.0,0.0,,0.0,0.0,,0.0,0.0
Bob Wachter,19,,,1.9,7.3,.261,0.9,1.8,.500,,,,,,3.4,4.7,
Richard Wackar,10,,,0.5,1.6,.313,0.5,0.6,.833,3.3,0.1,,,,1.4,1.5,
David Wacker,123,44,13.1,1.0,1.7,.557,1.0,1.7,.565,0.0,0.0,.000,1.0,1.5,.665,1.1,1.5
Mike Wacker,70,43,28.9,5.0,8.8,.571,,,,,,,2.8,4.0,.711,7.5,0.9
Bret Wackerly,31,6,9.5,0.5,1.9,.288,0.4,0.8,.440,0.2,1.1,.176,0.3,0.5,.714,0.4,0.6
Mark Wadach,83,,,3.3,8.1,.411,1.3,2.0,.657,6.4,3.0,,,,2.3,8.0,
Adam Waddell,124,76,22.1,2.5,4.9,.507,2.5,4.8,.509,0.0,0.0,.200,2.1,3.5,.590,1.2,2.6
Chad Waddell,11,0,1.1,0.1,0.3,.333,0.1,0.2,.500,0.0,0.1,.000,0.0,0.0,,0.1,0.0
Charles Waddell,22,,,0.6,1.3,.448,0.5,0.7,.733,0.8,0.2,,,,0.5,1.7,
Devin Waddell,66,2,6.8,0.2,0.6,.263,0.1,0.3,.316,0.1,0.3,.211,0.1,0.2,.455,0.2,0.5
Evie Waddell,9,6,29.6,2.8,6.9,.403,,,,,,,0.7,1.6,.429,2.4,6.4
Gary Waddell,72,,,3.2,6.8,.463,1.7,2.2,.768,4.6,0.5,,,,2.1,8.0,
Ken Waddell,18,1,,0.8,1.4,.600,,,,,,,0.4,0.9,.500,0.9,0.3
Larry Waddell,19,,,1.4,4.0,.342,0.3,0.5,.667,0.6,,,,,0.9,3.1,
Matt Waddell,127,93,25.9,3.2,7.1,.454,2.3,4.9,.476,0.9,2.1,.402,1.9,2.4,.826,,
Phil Waddell,75,,,2.5,5.7,.439,1.1,1.3,.833,1.7,,,,,0.9,6.1,
Qavotstaraj Waddell,54,25,17.7,1.7,3.1,.545,1.7,3.0,.552,0.0,0.0,.000,0.5,1.2,.406,1.4,2.8
Ray Waddell,15,0,2.4,0.2,0.3,.600,0.1,0.2,.333,0.1,0.1,1.000,0.3,0.4,.667,,
Cody Waddey,33,0,3.0,0.2,0.5,.375,0.2,0.3,.500,0.0,0.2,.167,0.3,0.5,.500,0.1,0.2
Tim Waddington,5,0,1.0,0.0,0.4,.000,0.0,0.2,.000,0.0,0.2,.000,0.8,1.2,.667,0.0,0.2
Kenny Waddle,20,,,4.1,10.4,.389,5.1,7.5,.680,9.0,,,,,2.9,13.2,
Dan Waddleton,60,,,1.2,3.7,.333,0.7,1.6,.443,2.1,,,,,0.7,3.2,
George Waddleton,74,,,4.6,12.5,.368,3.3,5.0,.661,4.5,,,,,2.6,12.5,
Austin Waddoups,16,1,8.3,0.6,1.7,.370,0.2,0.7,.273,0.4,1.0,.438,0.1,0.3,.400,0.1,0.8
Cliff Waddy,112,14,14.9,3.1,6.2,.493,,,,,,,1.5,1.9,.807,2.8,1.2
Daniel Waddy,99,56,17.6,1.4,3.9,.351,1.0,2.6,.386,0.4,1.3,.282,1.3,2.0,.635,0.4,1.9
Aaron Wade,116,52,16.2,2.2,5.1,.436,1.4,2.8,.486,0.9,2.3,.375,1.2,1.8,.665,0.8,2.2
Arthur Wade,40,12,17.7,1.1,2.9,.368,0.6,1.2,.469,0.5,1.7,.294,0.6,0.9,.622,0.6,1.0
B.J. Wade,52,48,27.0,3.4,8.6,.390,2.1,5.1,.407,1.3,3.6,.366,1.5,2.2,.714,,
Benton Wade,58,,,6.0,10.2,.587,,,,,,,3.2,5.6,.582,8.8,
Bob Wade,35,,,2.4,5.7,.423,0.9,1.4,.633,4.4,0.4,,,,2.4,5.7,
Bob Wade,50,,4.5,2.9,4.1,.698,2.2,3.4,.637,,,,,,2.4,7.9,
Boo Wade,63,28,25.3,1.8,4.2,.436,1.5,3.0,.516,0.3,1.3,.250,1.0,1.4,.701,1.0,1.7
Brandon Wade,30,1,8.4,0.3,1.4,.195,0.2,0.5,.333,0.1,0.9,.115,0.3,0.4,.692,0.1,0.5
Brent Wade,30,0,8.3,0.5,1.3,.421,,,.600,,,.500,0.5,0.9,.615,,
Butch Wade,121,81,21.9,2.3,4.9,.468,,,,,,,1.0,1.9,.504,5.6,0.5
Calvin Wade,49,,23.7,4.1,9.1,.452,1.6,2.3,.673,1.7,4.2,,,,1.9,9.8,
Calvin Wade,44,,17.9,3.0,6.3,.466,0.7,1.3,.554,5.8,,,,,2.4,6.6,
Cameo Wade,21,21,,1.0,3.2,.324,0.9,2.3,.388,0.1,0.9,.158,0.6,1.2,.462,,
Carlton Wade,30,,,3.2,7.4,.430,,,,,,,1.5,2.2,.708,1.2,2.4
Chuck Wade,71,,,3.3,8.0,.415,1.7,2.4,.715,3.0,,,,,1.5,8.4,
Clyde Wade,54,2,4.7,0.4,1.0,.429,0.3,0.7,.459,0.1,0.4,.368,0.3,0.4,.667,0.1,0.3
Collin Wade,54,,,3.0,7.2,.412,2.6,6.3,.411,0.4,1.0,.415,2.3,2.7,.830,,
David Wade,111,97,26.0,4.3,9.3,.458,,,,,,,2.1,3.4,.635,5.9,2.1
Dean Wade,126,123,29.3,4.3,8.7,.498,3.3,6.1,.547,1.0,2.6,.386,2.3,3.2,.711,1.7,3.7
Deshaun Wade,91,55,21.4,2.4,6.4,.374,1.1,2.5,.431,1.3,3.9,.336,1.3,1.6,.776,0.5,2.4
Desmond Wade,131,95,26.1,2.0,5.6,.349,1.2,3.4,.363,0.7,2.3,.329,1.1,1.6,.701,0.5,1.6
Dick Wade,49,,,0.7,1.8,.386,0.7,0.9,.778,0.6,0.5,,,,0.9,2.1,
Dion Wade,87,25,15.4,1.1,3.4,.328,0.4,0.9,.423,0.7,2.5,.294,0.5,0.8,.676,0.7,2.3
Donta Wade,29,17,20.5,2.8,8.1,.349,1.1,3.3,.340,1.7,4.8,.355,0.8,1.2,.706,,
Dwyane Wade,65,65,30.7,7.3,14.8,.494,6.8,13.3,.512,0.5,1.5,.333,4.6,6.2,.745,2.2,4.3
Emmanuel Wade,128,28,19.3,2.1,4.8,.440,1.5,2.9,.507,0.7,1.9,.341,1.2,1.6,.739,,
Eric Wade,52,25,31.1,5.0,10.3,.486,,,,,,,2.4,3.2,.756,3.1,0.5
Frank Wade,9,,,0.1,0.4,.250,0.1,0.4,.250,0.0,0.0,,0.1,0.2,.500,,
Frank Wade,68,,,3.2,7.7,.418,2.4,3.7,.659,5.8,,,,,2.6,8.8,
Fred Wade,13,0,7.4,0.7,1.7,.409,0.6,1.4,.444,0.1,0.3,.250,0.9,1.2,.750,,
Garrison Wade,52,6,11.8,1.2,2.9,.416,0.7,1.3,.561,0.5,1.6,.301,0.5,0.7,.735,0.3,1.8
Isaiah Wade,29,2,14.5,2.1,3.7,.561,2.1,3.5,.588,0.0,0.2,.000,0.6,1.4,.390,1.2,2.2
Jason Wade,55,13,22.1,2.7,5.3,.503,2.5,4.6,.534,0.2,0.7,.297,0.9,1.5,.578,2.0,2.3
Jerry Wade,24,,,7.5,15.0,.497,3.6,4.3,.837,2.5,,,,,2.3,18.5,
Jerry Wade,24,,,5.1,11.7,.436,1.7,2.3,.741,2.4,,,,,1.3,11.8,
Jesse Wade,28,0,5.1,0.4,1.4,.289,0.1,0.2,.333,0.3,1.1,.281,0.1,0.3,.500,0.1,0.3
John Wade,33,,6.7,3.0,7.0,.426,,,,,,,0.8,1.3,.595,4.1,2.0
Jonathan Wade,67,34,25.7,4.2,9.0,.462,3.0,5.8,.512,1.2,3.2,.372,3.2,4.1,.768,1.3,3.5
Keith Wade,119,,,3.6,8.8,.409,3.2,7.3,.435,0.4,1.5,.285,2.0,2.9,.703,,
Lee Wade,11,,,0.6,1.5,.438,0.4,0.5,.667,1.3,0.1,,,,0.3,1.6,
Lew Wade,55,18,,1.1,3.3,.333,0.7,1.0,.727,1.5,,,,,1.2,2.9,
Lorrenzo Wade,127,73,25.6,3.9,8.6,.455,3.3,6.5,.505,0.6,2.1,.305,2.1,2.9,.715,0.9,3.1
Lynwood Wade,58,,,7.1,12.0,.593,7.1,11.8,.601,0.0,0.2,.091,4.0,7.7,.525,,
Malik Wade,27,0,11.0,1.3,2.4,.530,1.3,2.4,.530,0.0,0.0,,0.8,1.4,.564,1.0,2.6
Mardracus Wade,126,64,21.1,1.9,4.5,.413,0.8,1.8,.465,1.0,2.7,.378,1.6,2.0,.783,0.6,0.8
Mark Wade,82,73,27.7,1.2,2.6,.438,,,.463,,,.367,1.1,1.6,.729,,
Matthew Wade,11,0,2.0,0.0,0.4,.000,0.0,0.4,.000,0.0,0.0,,0.1,0.2,.500,0.1,0.0
Michael Wade,58,18,14.4,1.5,3.2,.452,,,,,,,0.6,0.9,.667,1.4,0.9
Mike Wade,6,,,0.0,0.3,.000,0.0,0.3,.000,1.3,,,,,0.7,0.0,
Neil Wade,62,61,22.6,1.5,3.0,.508,,,,,,,1.5,2.1,.699,4.0,0.5
Pete Wade,110,28,11.9,1.2,3.0,.410,1.1,2.6,.437,0.1,0.4,.220,0.8,1.1,.710,,
Rod Wade,89,78,28.5,4.2,8.7,.486,4.1,8.2,.503,0.1,0.6,.224,3.9,5.5,.713,,
