name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Marvin Zaandam,15,0,3.3,0.1,0.4,.167,0.0,0.1,.000,0.1,0.3,.200,0.1,0.1,.500,,
Henry Zabierik,,,,,,,,,,,,,,,,,
Kevin Zabo,86,31,21.0,2.8,7.0,.398,1.9,4.1,.452,0.9,2.8,.320,1.5,2.0,.754,0.4,1.7
Alec Zaccardo,6,0,0.7,0.2,0.3,.500,0.2,0.2,1.000,0.0,0.2,.000,0.0,0.0,,0.0,0.2
Dan Zachary,53,46,,2.3,5.1,.446,,,,,,,2.0,2.5,.797,2.2,4.7
Danny Zachary,10,0,2.2,0.1,0.3,.333,,,,,,,0.3,0.6,.500,0.3,0.4
Michael Zachary,17,0,1.8,0.2,0.6,.364,0.2,0.5,.333,0.1,0.1,.500,0.0,0.0,,0.2,0.2
Randy Zachary,115,100,29.1,2.4,5.9,.412,1.0,2.5,.403,1.4,3.3,.418,1.5,2.0,.749,,
Richard Zacher,1,0,4.0,1.0,1.0,1.000,,,,,,,0.0,0.0,,1.0,0.0
Nick Zachery,83,35,26.0,4.6,11.1,.418,1.8,4.1,.433,2.8,6.9,.410,1.8,2.3,.772,0.4,2.3
John Zachritz,8,0,1.9,0.0,0.0,,,,,,,,0.0,0.0,,0.9,0.1
Scott Zack,11,0,6.5,0.4,0.8,.444,0.4,0.8,.444,0.0,0.0,,0.3,0.4,.750,,
Steve Zack,123,80,23.4,2.5,5.3,.470,2.5,5.2,.474,0.0,0.1,.125,1.3,2.0,.679,2.2,4.7
Jaeden Zackery,14,14,33.4,3.7,7.6,.486,2.3,4.9,.464,1.4,2.7,.526,1.9,2.6,.703,0.3,2.1
Bill Zadel,19,,,1.2,2.9,.400,0.4,0.8,.500,3.7,,,,,1.6,2.7,
Gene Zadzilka,16,,,0.5,2.0,.250,0.1,0.3,.250,,,,,,0.3,1.1,
Manny Zafires,6,,,0.2,0.7,.250,0.0,0.0,,0.0,0.5,,,,0.0,0.3,
Petrolsav Zafirov,27,0,5.5,0.5,1.8,.271,0.3,0.5,.538,0.2,1.3,.171,0.0,0.2,.200,0.2,0.4
Todd Zafirovski,20,0,2.1,0.1,0.4,.286,0.1,0.4,.286,0.0,0.0,,0.1,0.2,.250,0.1,0.3
Bill Zagar,8,,,0.1,0.8,.167,0.3,0.5,.500,0.5,0.1,,,,0.1,0.5,
Mike Zagardo,105,,34.2,5.1,8.7,.590,3.3,4.4,.751,7.8,1.2,0.6,0.7,,2.5,13.5,
Ron Zager,38,,,3.3,8.3,.402,2.1,3.1,.675,2.1,,,,,2.0,8.8,
Chuck Zagozdon,24,,,0.4,0.9,.429,0.3,0.6,.429,0.5,,,,,0.6,1.0,
Kyle Zaharias,81,33,11.8,1.2,2.6,.448,1.2,2.6,.448,0.0,0.0,,0.6,1.2,.511,1.3,1.9
Nick Zaharias,61,1,5.6,0.5,1.0,.459,,,.448,,,,0.7,0.8,.816,,
Adam Zahn,101,18,9.9,1.0,2.2,.444,1.0,2.1,.449,0.0,0.1,.333,0.5,0.9,.575,0.7,1.3
Alan Zahn,101,,22.6,2.1,4.6,.455,1.3,1.8,.728,3.7,1.9,0.7,0.4,1.8,2.2,5.5,
Andrew Zahn,16,0,3.4,0.4,0.6,.667,0.3,0.4,.714,0.1,0.1,.500,0.1,0.3,.500,0.4,0.6
_ Zahn,7,,,1.6,,,2.1,,,,,,,,,5.3,
Andrew Zahora,3,0,1.3,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,0.0,0.0,,0.3,0.0
Bob Zajac,43,,,0.5,1.5,.318,0.4,0.8,.515,1.0,,,,,0.2,1.4,
Craig Zajac,3,0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,
Ed Zajac,43,15,16.3,1.2,2.5,.463,1.2,2.5,.463,0.0,0.0,,0.7,1.2,.588,1.1,2.4
Jon Zajac,117,15,20.9,2.6,5.7,.453,2.5,5.3,.471,0.1,0.4,.213,0.9,1.8,.537,,
Richie Zajac,31,,,0.9,2.1,.409,1.0,1.5,.667,1.1,0.3,,,,0.1,2.8,
Bob Zak,14,,,1.7,3.1,.558,0.4,0.6,.625,1.6,,,,,1.1,3.8,
Dave Zak,19,,,0.3,1.2,.227,0.5,1.1,.429,1.6,,,,,1.2,1.1,
Jim Zak,41,,,0.7,2.1,.333,0.5,0.9,.595,2.0,,,,,1.1,2.0,
Mike Zak,27,,,1.9,5.4,.340,1.0,2.7,.389,0.8,2.8,.293,1.1,1.8,.633,,
Ted Zak,19,,,1.2,2.6,.469,1.1,2.1,.513,5.0,,,,,1.9,3.5,
John Zakariassen,1,0,,0.0,0.0,,0.0,1.0,.000,1.0,0.0,0.0,0.0,3.0,0.0,0.0,
Pavel Zakharov,33,0,4.6,0.5,1.1,.459,0.5,0.9,.484,0.1,0.2,.333,0.4,0.7,.591,0.3,0.5
Max Zakheim,3,0,4.0,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,0.3,0.7,.500,0.3,0.7
Mike Zaklan,59,,,1.4,3.4,.421,1.2,1.7,.730,1.9,,,,,1.8,4.1,
Casey Zakowski,11,,11.4,1.5,3.9,.395,,,,,,,0.5,0.8,.556,1.4,0.5
Steve Zakula,17,,,0.4,1.1,.368,0.8,1.2,.667,0.9,,,,,,1.6,
Matt Zalauskas,22,1,,0.7,1.9,.390,,,,,,,0.5,1.3,.414,1.4,0.2
Jim Zalenka,97,,16.6,2.3,5.4,.418,,,,,,,1.0,1.6,.662,3.1,0.6
Matt Zaleski,94,7,11.2,2.7,6.7,.396,1.5,3.5,.443,1.1,3.3,.346,0.5,0.7,.632,,
Bob Zaletal,16,,,0.6,1.4,.435,0.4,0.6,.600,0.9,,,,,1.2,1.6,
Joe Zaletel,48,1,12.7,1.5,3.4,.447,1.5,3.2,.461,0.0,0.1,.143,0.9,1.5,.569,,
Eric Zalewski,9,1,1.1,0.0,0.1,.000,0.0,0.1,.000,0.0,0.0,,0.0,0.2,.000,0.1,0.1
Tom Zaliagiris,100,,,1.9,4.0,.487,0.8,1.4,.587,1.3,1.0,0.8,0.1,,1.4,4.7,
George Zalucki,44,,,1.9,4.1,.472,0.7,1.4,.516,6.0,,,,,2.5,4.6,
Paulius Zalys,120,57,23.4,3.4,7.1,.474,2.7,5.1,.541,0.6,2.1,.308,1.4,2.0,.689,1.1,3.4
Mark Zamat,38,,,4.4,9.9,.447,1.5,2.0,.760,3.2,,,,,2.2,10.3,
George Zambetti,52,,,3.5,7.8,.455,1.8,3.0,.606,4.7,1.2,,,,2.8,8.9,
Ryan Zambie,8,0,0.9,0.0,0.1,.000,0.0,0.1,.000,0.0,0.0,,0.0,0.3,.000,0.3,0.1
Steve Zambo,16,,,5.4,12.4,.437,2.3,3.2,.725,2.6,0.0,,,,3.1,13.2,
Joe Zamborsky,3,,,0.3,2.3,.143,0.7,0.7,1.000,0.3,,,,,1.3,1.3,
