name,draft
Cade Cunningham,1
Jalen Green,1
Evan Mobley,1
Scottie Barnes,1
Jalen Suggs,1
Josh Giddey,1
Jonathan Kuminga,1
Franz Wagner,1
Davion Mitchell,1
Ziaire Williams,1
James Bouknight,1
Joshua Primo,1
Chris Duarte,1
Moses Moody,1
Corey Kispert,1
Alperen Sengun,1
Trey Murphy III,1
Tre Mann,1
Kai Jones,1
Jalen Johnson,1
Keon Johnson,1
Isaiah Jackson,1
Usman Garuba,1
Josh Christopher,1
Quentin Grimes,1
Bones Hyland,1
Cam Thomas,1
Jaden Springer,1
Day'Ron Sharpe,1
Santi Aldama,1
Anthony Edwards,1
James Wiseman,1
LaMelo Ball,1
Patrick Williams,1
Isaac Okoro,1
Onyeka Okongwu,1
Killian Hayes,1
Obi Toppin,1
Deni Avdija,1
Jalen Smith,1
Devin Vassell,1
Tyrese Haliburton,1
Kira Lewis Jr.,1
Aaron Nesmith,1
Cole Anthony,1
Isaiah Stewart,1
Aleksej Pokusevski,1
Josh Green,1
Saddiq Bey,1
Precious Achiuwa,1
Tyrese Maxey,1
Zeke Nnaji,1
Leandro Bolmaro,1
R.J. Hampton,1
Immanuel Quickley,1
Payton Pritchard,1
Udoka Azubuike,1
Jaden McDaniels,1
Malachi Flynn,1
Desmond Bane,1
Zion Williamson,1
Ja Morant,1
RJ Barrett,1
De'Andre Hunter,1
Darius Garland,1
Jarrett Culver,1
Coby White,1
Jaxson Hayes,1
Rui Hachimura,1
Cam Reddish,1
Cameron Johnson,1
P.J. Washington,1
Tyler Herro,1
Romeo Langford,1
Sekou Doumbouya,1
Chuma Okeke,1
Nickeil Alexander-Walker,1
Goga Bitadze,1
Luka Samanic,1
Matisse Thybulle,1
Brandon Clarke,1
Grant Williams,1
Darius Bazley,1
Ty Jerome,1
Nassir Little,1
Dylan Windler,1
Mfiondu Kabengele,1
Jordan Poole,1
Keldon Johnson,1
Kevin Porter Jr.,1
Deandre Ayton,1
Marvin Bagley III,1
Luka Doncic,1
Jaren Jackson Jr.,1
Trae Young,1
Mo Bamba,1
Wendell Carter Jr.,1
Collin Sexton,1
Kevin Knox II,1
Mikal Bridges,1
Shai Gilgeous-Alexander,1
Miles Bridges,1
Jerome Robinson,1
Michael Porter Jr.,1
Troy Brown Jr.,1
Zhaire Smith,1
Donte DiVincenzo,1
Lonnie Walker IV,1
Kevin Huerter,1
Josh Okogie,1
Grayson Allen,1
Chandler Hutchison,1
Aaron Holiday,1
Anfernee Simons,1
Moritz Wagner,1
Landry Shamet,1
Robert Williams III,1
Jacob Evans,1
Dzanan Musa,1
Omari Spellman,1
Markelle Fultz,1
Lonzo Ball,1
Jayson Tatum,1
Josh Jackson,1
De'Aaron Fox,1
Jonathan Isaac,1
Lauri Markkanen,1
Frank Ntilikina,1
Dennis Smith Jr.,1
Zach Collins,1
Malik Monk,1
Luke Kennard,1
Donovan Mitchell,1
Bam Adebayo,1
Justin Jackson,1
Justin Patton,1
D.J. Wilson,1
T.J. Leaf,1
John Collins,1
Harry Giles III,1
Terrance Ferguson,1
Jarrett Allen,1
OG Anunoby,1
Tyler Lydon,1
Anzejs Pasecniks,1
Caleb Swanigan,1
Kyle Kuzma,1
Tony Bradley,1
Derrick White,1
Josh Hart,1
Ben Simmons,1
Brandon Ingram,1
Jaylen Brown,1
Dragan Bender,1
Kris Dunn,1
Buddy Hield,1
Jamal Murray,1
Marquese Chriss,1
Jakob Poeltl,1
Thon Maker,1
Domantas Sabonis,1
Taurean Prince,1
Georgios Papagiannis,1
Denzel Valentine,1
Juancho Hernangomez,1
Guerschon Yabusele,1
Wade Baldwin IV,1
Henry Ellenson,1
Malik Beasley,1
Caris LeVert,1
DeAndre' Bembry,1
Malachi Richardson,1
Ante Zizic,1
Timothe Luwawu-Cabarrot,1
Brice Johnson,1
Furkan Korkmaz,1
Pascal Siakam,1
Skal Labissiere,1
Dejounte Murray,1
Damian Jones,1
Karl-Anthony Towns,1
D'Angelo Russell,1
Jahlil Okafor,1
Kristaps Porzingis,1
Mario Hezonja,1
Willie Cauley-Stein,1
Emmanuel Mudiay,1
Stanley Johnson,1
Frank Kaminsky,1
Justise Winslow,1
Myles Turner,1
Trey Lyles,1
Devin Booker,1
Cameron Payne,1
Kelly Oubre Jr.,1
Terry Rozier,1
Rashad Vaughn,1
Sam Dekker,1
Jerian Grant,1
Delon Wright,1
Justin Anderson,1
Bobby Portis,1
Rondae Hollis-Jefferson,1
Tyus Jones,1
Jarell Martin,1
Nikola Milutinov,1
Larry Nance Jr.,1
RJ Hunter,1
Chris McCullough,1
Kevon Looney,1
Andrew Wiggins,1
Jabari Parker,1
Joel Embiid,1
Aaron Gordon,1
Dante Exum,1
Marcus Smart,1
Julius Randle,1
Nik Stauskas,1
Noah Vonleh,1
Elfrid Payton,1
Doug McDermott,1
Dario Saric,1
Zach LaVine,1
T.J. Warren,1
Adreian Payne,1
Jusuf Nurkic,1
James Young,1
Tyler Ennis,1
Gary Harris,1
Bruno Caboclo,1
Mitch McGary,1
Jordan Adams,1
Rodney Hood,1
Shabazz Napier,1
Clint Capela,1
PJ Hairston,1
Bogdan Bogdanovic,1
C.J. Wilcox,1
Josh Huestis,1
Kyle Anderson,1
Anthony Bennett,1
Victor Oladipo,1
Otto Porter Jr.,1
Cody Zeller,1
Alex Len,1
Nerlens Noel,1
Ben McLemore,1
Kentavious Caldwell-Pope,1
Trey Burke,1
CJ McCollum,1
Michael Carter-Williams,1
Steven Adams,1
Kelly Olynyk,1
Shabazz Muhammad,1
Giannis Antetokounmpo,1
Lucas Nogueira,1
Dennis Schroder,1
Shane Larkin,1
Sergey Karasev,1
Tony Snell,1
Gorgui Dieng,1
Mason Plumlee,1
Solomon Hill,1
Tim Hardaway Jr.,1
Reggie Bullock,1
Andre Roberson,1
Rudy Gobert,1
Livio Jean-Charles,1
Archie Goodwin,1
Nemanja Nedovic,1
Anthony Davis,1
Michael Kidd-Gilchrist,1
Bradley Beal,1
Dion Waiters,1
Thomas Robinson,1
Damian Lillard,1
Harrison Barnes,1
Terrence Ross,1
Andre Drummond,1
Austin Rivers,1
Meyers Leonard,1
Jeremy Lamb,1
Kendall Marshall,1
John Henson,1
Maurice Harkless,1
Royce White,1
Tyler Zeller,1
Terrence Jones,1
Andrew Nicholson,1
Evan Fournier,1
Jared Sullinger,1
Fab Melo,1
John Jenkins,1
Jared Cunningham,1
Tony Wroten,1
Miles Plumlee,1
Arnett Moultrie,1
